epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,135.877,1.93769,2.34982,1.03987,0.26566,0.1827,0.132,0.07017,1.73734,1.58144,0.97684,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,252.223,1.87202,1.62059,0.99262,0.25596,0.21013,0.17775,0.09489,1.72815,1.41846,0.96637,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659
3,363.904,1.88568,1.56585,0.99257,0.28463,0.22366,0.19446,0.10269,1.72299,1.3893,0.97738,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796
4,475.827,1.85856,1.5089,0.98887,0.28119,0.22875,0.1986,0.10881,1.71962,1.36557,0.96317,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,587.947,1.80522,1.44774,0.97765,0.32918,0.24029,0.21947,0.12035,1.6933,1.30304,0.95123,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,700.508,1.77781,1.4029,0.96884,0.32028,0.24417,0.22014,0.1224,1.65434,1.28454,0.94796,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,806.693,1.74012,1.35718,0.96083,0.34075,0.26037,0.23338,0.1268,1.6161,1.27012,0.94007,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,921.004,1.71159,1.31498,0.95676,0.39069,0.27115,0.2613,0.14328,1.59267,1.19271,0.93793,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1039.48,1.71424,1.30228,0.95066,0.32478,0.27154,0.24549,0.13421,1.59814,1.21633,0.93411,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1155.4,1.69971,1.28256,0.94849,0.35114,0.27187,0.25617,0.14359,1.58228,1.22007,0.93071,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1268.55,1.68385,1.26393,0.94577,0.34408,0.28094,0.25778,0.14359,1.5773,1.19693,0.92986,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1380.64,1.65777,1.24461,0.94231,0.35725,0.28029,0.26638,0.1476,1.56427,1.16737,0.92951,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1496.46,1.65066,1.2349,0.94192,0.36516,0.29117,0.27375,0.15161,1.55598,1.16121,0.92485,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1616.36,1.65109,1.21896,0.93615,0.38336,0.28734,0.27552,0.15257,1.55699,1.1585,0.92618,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1739.08,1.646,1.21339,0.93557,0.37831,0.2905,0.28076,0.15471,1.54493,1.14164,0.92339,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1859.64,1.63894,1.2068,0.93476,0.39121,0.28938,0.28183,0.15623,1.53658,1.13843,0.92225,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1982.41,1.63504,1.19669,0.93202,0.38592,0.30362,0.2883,0.1602,1.53248,1.12276,0.91979,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2110.32,1.61675,1.18017,0.92743,0.39341,0.2934,0.28342,0.15958,1.53053,1.11854,0.9209,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2233.29,1.6135,1.18214,0.92792,0.39513,0.30529,0.29545,0.16586,1.51556,1.11307,0.91962,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2359.06,1.61328,1.17022,0.92472,0.39568,0.30588,0.29014,0.16512,1.5237,1.12255,0.9148,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2484.91,1.60625,1.16689,0.92415,0.38793,0.30103,0.29208,0.16455,1.51528,1.10817,0.91504,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2608.87,1.59606,1.15002,0.92226,0.40769,0.29954,0.29731,0.16705,1.51715,1.11235,0.92017,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2730.44,1.60145,1.15475,0.92221,0.41042,0.30531,0.29759,0.16803,1.50351,1.09803,0.91462,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2846.39,1.59327,1.1494,0.92256,0.40351,0.30086,0.2966,0.16867,1.49581,1.09107,0.91059,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
